,WSAID,PROEVEAAR,simple_mean,sd,n,weighted_mean,Hardness,Hardness_class
1,1000,1982,14.4,,1,14.4,14.4,Fairly hard
2,1000,1983,13.1,,1,13.1,13.1,Fairly hard
3,1000,1984,11.3,,1,11.3,11.3,Medium hard
4,1000,1985,11.6,,1,11.6,11.6,Medium hard
5,1000,1986,13.4,,1,13.4,13.4,Fairly hard
6,1000,1987,12.1,,1,12.1,12.1,Fairly hard
7,1000,1988,11.7,,1,11.7,11.7,Medium hard
8,1000,1989,14,,1,14,14,Fairly hard
9,1000,1991,12.1,,1,12.1,12.1,Fairly hard
10,1000,1993,13.5,,1,13.5,13.5,Fairly hard
11,1000,1998,12,,1,12,12,Medium hard
12,1000,2001,12.7,,1,12.7,12.7,Fairly hard
13,1000,2004,12.6,,1,12.6,12.6,Fairly hard
14,1000,2007,12.6,,1,12.6,12.6,Fairly hard
15,1000,2008,11,,1,11,11,Medium hard
16,1000,2009,12.6,,1,12.6,12.6,Fairly hard
17,1000,2010,11.5,,1,11.5,11.5,Medium hard
18,1000,2011,12.5,,1,12.5,12.5,Fairly hard
19,1000,2012,12.6,,1,12.6,12.6,Fairly hard
20,1000,2013,11.9,,1,11.9,11.9,Medium hard
21,1000,2017,11.9,,1,11.9,11.9,Medium hard
22,1000,2022,11.3,,1,11.3,11.3,Medium hard
23,1001,1997,13.6,,1,13.6,13.6,Fairly hard
24,1001,1998,14,,1,14,14,Fairly hard
25,1001,1999,13.2,,1,13.2,13.2,Fairly hard
26,1001,2000,13.6,,1,13.6,13.6,Fairly hard
27,1001,2001,13.7,,1,13.7,13.7,Fairly hard
28,1001,2004,14.9,,1,14.9,14.9,Fairly hard
29,1001,2007,15,,1,15,15,Fairly hard
30,1001,2008,14.2,,1,14.2,14.2,Fairly hard
31,1001,2009,15.4,,1,15.4,15.4,Fairly hard
32,1001,2010,13.2,,1,13.2,13.2,Fairly hard
33,1001,2011,14.7,,1,14.7,14.7,Fairly hard
34,1001,2012,14.7,,1,14.7,14.7,Fairly hard
35,1001,2013,14.4,,1,14.4,14.4,Fairly hard
36,1001,2014,17.9,,1,17.9,17.9,Fairly hard
37,1001,2015,14.9,,1,14.9,14.9,Fairly hard
38,1001,2016,13.9,,1,13.9,13.9,Fairly hard
39,1001,2017,13.7,,1,13.7,13.7,Fairly hard
40,1001,2018,14.8,,1,14.8,14.8,Fairly hard
41,1001,2022,13.7,,1,13.7,13.7,Fairly hard
42,1002,1982,7.3,2.1,2,7.3,7.3,Soft
43,1002,1983,7.5,2.3,2,7.5,7.5,Soft
44,1002,1984,5.7,,1,5.7,5.7,Soft
45,1002,1985,7.4,2.3,2,7.4,7.4,Soft
46,1002,1986,5.9,,1,5.9,5.9,Soft
47,1002,1987,5.6,,1,5.6,5.6,Soft
48,1002,1988,5.5,,1,5.5,5.5,Soft
49,1002,1989,7,2.6,2,6.9,6.9,Soft
50,1002,1991,5.6,,1,5.6,5.6,Soft
51,1002,1993,8,1.7,4,8,8,Soft
52,1002,1996,9.1,,1,9.1,9.1,Medium hard
53,1002,1997,9.5,,1,9.5,9.5,Medium hard
54,1002,1998,7.7,1.4,3,7.9,7.9,Soft
55,1002,2001,9.1,,1,9.1,9.1,Medium hard
56,1002,2003,8,,1,8,8,Soft
57,1002,2004,6.8,1.9,2,7.1,7.1,Soft
58,1002,2005,7.8,2.3,2,9.2,9.2,Medium hard
59,1003,1982,9.9,,1,9.9,9.9,Medium hard
60,1003,1983,9.9,,1,9.9,9.9,Medium hard
61,1003,1984,9.6,,1,9.6,9.6,Medium hard
62,1003,1985,10,,1,10,10,Medium hard
63,1003,1986,10.1,,1,10.1,10.1,Medium hard
64,1003,1987,9.5,,1,9.5,9.5,Medium hard
65,1003,1988,9.5,,1,9.5,9.5,Medium hard
66,1003,1989,9.9,,1,9.9,9.9,Medium hard
67,1003,1991,9.6,,1,9.6,9.6,Medium hard
68,1003,1993,10,,1,10,10,Medium hard
69,1003,2003,10.8,,1,10.8,10.8,Medium hard
70,1004,1982,16.9,0.9,2,16.6,16.6,Fairly hard
71,1004,1983,16.8,0.2,2,16.7,16.7,Fairly hard
72,1004,1984,16,,1,16,16,Fairly hard
73,1004,1985,16.9,0.5,2,16.7,16.7,Fairly hard
74,1004,1987,16.6,0.5,2,16.5,16.5,Fairly hard
75,1004,1988,16.6,0.2,2,16.7,16.7,Fairly hard
76,1004,1989,17.1,0.7,2,16.9,16.9,Fairly hard
77,1004,1990,17,,1,17,17,Fairly hard
78,1004,1993,16.7,,1,16.7,16.7,Fairly hard
79,1004,1994,16.1,,1,16.1,16.1,Fairly hard
80,1004,1998,16.5,,1,16.5,16.5,Fairly hard
81,1004,2003,16.4,,1,16.4,16.4,Fairly hard
82,1004,2004,17.9,,1,17.9,17.9,Fairly hard
83,1004,2006,16.9,,1,16.9,16.9,Fairly hard
84,1004,2007,16.7,,1,16.7,16.7,Fairly hard
85,1004,2008,16.8,,1,16.8,16.8,Fairly hard
86,1004,2009,18.3,,1,18.3,18.3,Hard
87,1004,2010,16.8,,1,16.8,16.8,Fairly hard
88,1004,2011,17.5,1,2,17.7,17.7,Fairly hard
89,1004,2013,18.2,0.1,2,18.2,18.2,Hard
90,1004,2015,17.5,0.9,2,17.6,17.6,Fairly hard
91,1004,2017,17.5,0.1,2,17.5,17.5,Fairly hard
92,1004,2019,18.4,0.2,2,18.3,18.3,Hard
93,1004,2021,15.9,1.3,2,15.7,15.7,Fairly hard
94,1004,2022,18.9,1.1,2,18.8,18.8,Hard
95,1004,2023,17,,1,17,17,Fairly hard
96,1005,1981,8.9,,1,8.9,8.9,Medium hard
97,1005,1982,9.8,,1,9.8,9.8,Medium hard
98,1005,1983,9.9,,1,9.9,9.9,Medium hard
99,1005,1984,10.5,,1,10.5,10.5,Medium hard
100,1005,1985,9.8,,1,9.8,9.8,Medium hard
101,1005,1986,10.1,,1,10.1,10.1,Medium hard
102,1005,1987,10.3,,1,10.3,10.3,Medium hard
103,1005,1988,10.3,,1,10.3,10.3,Medium hard
104,1005,1989,10.6,,1,10.6,10.6,Medium hard
105,1005,1991,12.7,,1,12.7,12.7,Fairly hard
106,1005,1993,12.8,,1,12.8,12.8,Fairly hard
107,1005,1998,13.2,,1,13.2,13.2,Fairly hard
108,1005,2002,10.6,,1,10.6,10.6,Medium hard
109,1005,2004,11.3,,1,11.3,11.3,Medium hard
110,1005,2006,12.1,,1,12.1,12.1,Fairly hard
111,1005,2007,11.3,,1,11.3,11.3,Medium hard
112,1005,2008,11.3,,1,11.3,11.3,Medium hard
113,1005,2009,15.8,,1,15.8,15.8,Fairly hard
114,1005,2010,12,,1,12,12,Medium hard
115,1005,2011,11.4,,1,11.4,11.4,Medium hard
116,1005,2012,14.2,,1,14.2,14.2,Fairly hard
117,1005,2013,12.5,,1,12.5,12.5,Fairly hard
118,1005,2014,13,,1,13,13,Fairly hard
119,1005,2015,11.9,,1,11.9,11.9,Medium hard
120,1005,2016,13.4,,1,13.4,13.4,Fairly hard
121,1005,2017,13.5,,1,13.5,13.5,Fairly hard
122,1005,2018,12.9,,1,12.9,12.9,Fairly hard
123,1005,2020,14.7,,1,14.7,14.7,Fairly hard
124,1005,2021,14.1,,1,14.1,14.1,Fairly hard
125,1005,2022,13.7,,1,13.7,13.7,Fairly hard
126,1006,1982,12,2.4,2,11.4,11.4,Medium hard
127,1006,1983,12.4,1.7,2,12,12,Medium hard
128,1006,1984,12,1.3,2,11.7,11.7,Medium hard
129,1006,1985,13.8,,1,13.8,13.8,Fairly hard
130,1006,1987,11.1,,1,11.1,11.1,Medium hard
131,1006,1988,11,,1,11,11,Medium hard
132,1006,1989,12.6,2.1,2,12.2,12.2,Fairly hard
133,1006,1991,12.8,1.5,2,12.4,12.4,Fairly hard
134,1006,1993,13.3,1.8,2,13,13,Fairly hard
135,1006,2003,9.4,,1,9.4,9.4,Medium hard
136,1006,2006,7.9,,1,7.9,7.9,Soft
137,1006,2007,8.5,,1,8.5,8.5,Medium hard
138,1006,2008,7.8,,1,7.8,7.8,Soft
139,1006,2009,8.9,,1,8.9,8.9,Medium hard
140,1006,2010,8.2,,1,8.2,8.2,Medium hard
141,1006,2011,8.8,,1,8.8,8.8,Medium hard
142,1006,2012,8.1,,1,8.1,8.1,Medium hard
143,1006,2013,8.7,,1,8.7,8.7,Medium hard
144,1006,2015,8.4,,1,8.4,8.4,Medium hard
145,1006,2016,9,,1,9,9,Medium hard
146,1006,2017,8.5,,1,8.5,8.5,Medium hard
147,1006,2018,8.6,,1,8.6,8.6,Medium hard
148,1006,2019,7.3,,1,7.3,7.3,Soft
149,1006,2020,9.3,,1,9.3,9.3,Medium hard
150,1006,2021,11.3,,1,11.3,11.3,Medium hard
151,1006,2022,8.3,,1,8.3,8.3,Medium hard
152,1006,2023,8.6,,1,8.6,8.6,Medium hard
153,1007,1982,8.7,,1,8.7,8.7,Medium hard
154,1007,1983,9.6,,1,9.6,9.6,Medium hard
155,1007,1984,9.7,,1,9.7,9.7,Medium hard
156,1007,1985,9.7,,1,9.7,9.7,Medium hard
157,1007,1986,9.9,,1,9.9,9.9,Medium hard
158,1007,1987,9.6,,1,9.6,9.6,Medium hard
159,1007,1988,9.6,,1,9.6,9.6,Medium hard
160,1007,1989,9.8,,1,9.8,9.8,Medium hard
161,1007,1991,9.9,,1,9.9,9.9,Medium hard
162,1007,1993,11.1,,1,11.1,11.1,Medium hard
163,1007,1995,9.9,,1,9.9,9.9,Medium hard
164,1007,1996,10.5,,1,10.5,10.5,Medium hard
165,1007,1997,9.3,,1,9.3,9.3,Medium hard
166,1007,1998,10.6,,1,10.6,10.6,Medium hard
167,1007,1999,10,,1,10,10,Medium hard
168,1007,2000,9.9,,1,9.9,9.9,Medium hard
169,1007,2001,10.2,,1,10.2,10.2,Medium hard
170,1007,2006,9.6,,1,9.6,9.6,Medium hard
171,1007,2007,10.2,,1,10.2,10.2,Medium hard
172,1007,2008,9.9,,1,9.9,9.9,Medium hard
173,1007,2009,9.9,,1,9.9,9.9,Medium hard
174,1007,2010,9.3,,1,9.3,9.3,Medium hard
175,1007,2011,9.4,,1,9.4,9.4,Medium hard
176,1007,2012,9.4,,1,9.4,9.4,Medium hard
177,1007,2013,10.8,,1,10.8,10.8,Medium hard
178,1007,2014,9.3,,1,9.3,9.3,Medium hard
179,1007,2015,9.3,,1,9.3,9.3,Medium hard
180,1007,2016,9.4,,1,9.4,9.4,Medium hard
181,1007,2017,9.7,,1,9.7,9.7,Medium hard
182,1007,2018,9.4,,1,9.4,9.4,Medium hard
183,1007,2019,11.7,,1,11.7,11.7,Medium hard
184,1007,2020,10.1,,1,10.1,10.1,Medium hard
185,1007,2022,9.2,,1,9.2,9.2,Medium hard
186,1008,1982,8.6,,1,8.6,8.6,Medium hard
187,1008,1983,8.3,,1,8.3,8.3,Medium hard
188,1008,1984,8.1,,1,8.1,8.1,Medium hard
189,1008,1985,9.3,,1,9.3,9.3,Medium hard
190,1008,1986,8.3,,1,8.3,8.3,Medium hard
191,1008,1987,8.3,,1,8.3,8.3,Medium hard
192,1008,1988,9.3,,1,9.3,9.3,Medium hard
193,1008,1989,8.8,,1,8.8,8.8,Medium hard
194,1008,1990,8.5,,1,8.5,8.5,Medium hard
195,1008,1991,9.1,,1,9.1,9.1,Medium hard
196,1008,1992,9.6,,1,9.6,9.6,Medium hard
197,1008,1993,9.7,,1,9.7,9.7,Medium hard
198,1008,1994,9.7,,1,9.7,9.7,Medium hard
199,1008,2002,9.4,,1,9.4,9.4,Medium hard
200,1008,2005,10.4,,1,10.4,10.4,Medium hard
201,1008,2007,9.5,,1,9.5,9.5,Medium hard
202,1008,2008,8.3,,1,8.3,8.3,Medium hard
203,1008,2010,9.5,,1,9.5,9.5,Medium hard
204,1008,2011,9.7,,1,9.7,9.7,Medium hard
205,1008,2012,10.3,,1,10.3,10.3,Medium hard
206,1008,2013,10.3,,1,10.3,10.3,Medium hard
207,1008,2014,10.4,,1,10.4,10.4,Medium hard
208,1008,2016,9.5,,1,9.5,9.5,Medium hard
209,1008,2017,9,,1,9,9,Medium hard
210,1008,2018,10.1,,1,10.1,10.1,Medium hard
211,1008,2022,8.8,,1,8.8,8.8,Medium hard
212,1009,2007,9.9,1.6,2,9.2,9.2,Medium hard
213,1009,2008,9.7,1.7,2,9,9,Medium hard
214,1009,2009,10.2,1.6,2,9.4,9.4,Medium hard
215,1009,2010,10.2,1.5,2,9.6,9.6,Medium hard
216,1009,2011,10.1,0.8,2,9.8,9.8,Medium hard
217,1009,2012,10.2,1.2,2,9.8,9.8,Medium hard
218,1009,2013,9.1,,1,9.1,9.1,Medium hard
219,1009,2014,9.6,,1,9.6,9.6,Medium hard
220,1009,2015,9.7,,1,9.7,9.7,Medium hard
221,1009,2016,9.4,,1,9.4,9.4,Medium hard
222,1009,2017,10.1,,1,10.1,10.1,Medium hard
223,1010,1980,5.1,,1,5.1,5.1,Soft
224,1010,1981,5,,1,5,5,Soft
225,1010,1983,6.5,,1,6.5,6.5,Soft
226,1010,1985,6.1,,1,6.1,6.1,Soft
227,1010,1986,5.8,,1,5.8,5.8,Soft
228,1010,1987,5.7,,1,5.7,5.7,Soft
229,1010,1989,4.9,,1,4.9,4.9,Soft
230,1010,1991,6.2,,1,6.2,6.2,Soft
231,1010,1993,8.1,,1,8.1,8.1,Medium hard
232,1010,1995,8.3,,1,8.3,8.3,Medium hard
233,1010,1997,7.5,,1,7.5,7.5,Soft
234,1010,2001,7.7,,1,7.7,7.7,Soft
235,1010,2003,8.5,,1,8.5,8.5,Medium hard
236,1010,2010,8,,1,8,8,Soft
237,1010,2012,8.2,,1,8.2,8.2,Medium hard
238,1010,2014,8.4,,1,8.4,8.4,Medium hard
239,1010,2016,8.5,,1,8.5,8.5,Medium hard
240,1011,2005,10.2,,1,10.2,10.2,Medium hard
241,1011,2006,9.4,,1,9.4,9.4,Medium hard
242,1011,2007,9.3,,1,9.3,9.3,Medium hard
243,1011,2008,10.7,,1,10.7,10.7,Medium hard
244,1011,2009,9.1,,1,9.1,9.1,Medium hard
245,1011,2010,9.8,,1,9.8,9.8,Medium hard
246,1011,2011,9.8,,1,9.8,9.8,Medium hard
247,1011,2012,9.4,,1,9.4,9.4,Medium hard
248,1011,2013,10.2,,1,10.2,10.2,Medium hard
249,1011,2014,9.5,,1,9.5,9.5,Medium hard
250,1011,2015,10.1,,1,10.1,10.1,Medium hard
251,1011,2016,10.2,,1,10.2,10.2,Medium hard
252,1011,2017,10.3,,1,10.3,10.3,Medium hard
253,1011,2018,10.1,,1,10.1,10.1,Medium hard
254,1011,2019,10.2,,1,10.2,10.2,Medium hard
255,1011,2020,9.6,,1,9.6,9.6,Medium hard
256,1011,2021,9.9,,1,9.9,9.9,Medium hard
257,1011,2022,10.2,,1,10.2,10.2,Medium hard
258,1011,2023,10,,1,10,10,Medium hard
259,1012,1980,9.2,,1,9.2,9.2,Medium hard
260,1012,1981,9.9,,1,9.9,9.9,Medium hard
261,1012,1982,9.8,,1,9.8,9.8,Medium hard
262,1012,1983,10.3,,1,10.3,10.3,Medium hard
263,1012,1984,9.8,,1,9.8,9.8,Medium hard
264,1012,1985,9.6,,1,9.6,9.6,Medium hard
265,1012,1986,9.3,,1,9.3,9.3,Medium hard
266,1012,1987,9.5,,1,9.5,9.5,Medium hard
267,1012,1988,9.4,,1,9.4,9.4,Medium hard
268,1012,1989,10.1,,1,10.1,10.1,Medium hard
269,1012,1991,9.9,,1,9.9,9.9,Medium hard
270,1014,1979,13.1,,1,13.1,13.1,Fairly hard
271,1014,1981,14.3,,1,14.3,14.3,Fairly hard
272,1014,1982,19.2,,1,19.2,19.2,Hard
273,1014,1983,13.6,,1,13.6,13.6,Fairly hard
274,1014,1986,13.5,,1,13.5,13.5,Fairly hard
275,1015,1991,14.9,,1,14.9,14.9,Fairly hard
276,1015,1992,14.9,,1,14.9,14.9,Fairly hard
277,1015,1993,14.9,,1,14.9,14.9,Fairly hard
278,1015,1994,14.9,,1,14.9,14.9,Fairly hard
279,1015,1996,15.1,,1,15.1,15.1,Fairly hard
280,1015,1997,15,,1,15,15,Fairly hard
281,1015,1998,15.2,,1,15.2,15.2,Fairly hard
282,1015,1999,15.5,,1,15.5,15.5,Fairly hard
283,1015,2000,14.9,,1,14.9,14.9,Fairly hard
284,1015,2001,14.4,,1,14.4,14.4,Fairly hard
285,1015,2002,15.2,,1,15.2,15.2,Fairly hard
286,1015,2003,14.8,,1,14.8,14.8,Fairly hard
287,1015,2004,15.7,,1,15.7,15.7,Fairly hard
288,1015,2005,14.9,,1,14.9,14.9,Fairly hard
289,1015,2006,15.8,,1,15.8,15.8,Fairly hard
290,1015,2007,15.1,,1,15.1,15.1,Fairly hard
291,1015,2008,15.6,,1,15.6,15.6,Fairly hard
292,1015,2009,14.8,,1,14.8,14.8,Fairly hard
293,1015,2010,15.2,,1,15.2,15.2,Fairly hard
294,1015,2011,15.3,,1,15.3,15.3,Fairly hard
295,1015,2012,15.4,,1,15.4,15.4,Fairly hard
296,1015,2013,15.5,,1,15.5,15.5,Fairly hard
297,1015,2014,15.5,,1,15.5,15.5,Fairly hard
298,1015,2015,15,,1,15,15,Fairly hard
299,1015,2016,15.5,,1,15.5,15.5,Fairly hard
300,1015,2017,15.9,,1,15.9,15.9,Fairly hard
301,1015,2018,15.1,,1,15.1,15.1,Fairly hard
302,1015,2022,15.6,,1,15.6,15.6,Fairly hard
303,1015,2023,15.2,,1,15.2,15.2,Fairly hard
304,1016,2011,17.2,2.2,3,16.6,16.6,Fairly hard
305,1016,2012,17.1,2.4,3,16.5,16.5,Fairly hard
306,1016,2013,17.9,2.4,3,16.8,16.8,Fairly hard
307,1016,2014,17.6,2.1,3,16.9,16.9,Fairly hard
308,1016,2015,15,,1,15,15,Fairly hard
309,1016,2016,17.8,3.2,2,16.2,16.2,Fairly hard
310,1016,2017,17.5,1.5,3,16.7,16.7,Fairly hard
311,1016,2018,17,1.7,3,16,16,Fairly hard
312,1016,2022,15.6,,1,15.6,15.6,Fairly hard
313,1016,2023,15.6,0.5,2,15.3,15.3,Fairly hard
314,1017,1991,14.7,,1,14.7,14.7,Fairly hard
315,1017,1992,14.9,,1,14.9,14.9,Fairly hard
316,1017,1995,14.4,,1,14.4,14.4,Fairly hard
317,1017,1996,14.9,,1,14.9,14.9,Fairly hard
318,1017,1997,14.6,,1,14.6,14.6,Fairly hard
319,1017,1998,14.9,,1,14.9,14.9,Fairly hard
320,1017,1999,15.8,,1,15.8,15.8,Fairly hard
321,1017,2000,16.8,,1,16.8,16.8,Fairly hard
322,1017,2001,17.2,,1,17.2,17.2,Fairly hard
323,1017,2002,15.7,,1,15.7,15.7,Fairly hard
324,1017,2003,15.9,,1,15.9,15.9,Fairly hard
325,1017,2004,17.4,,1,17.4,17.4,Fairly hard
326,1017,2005,14.7,,1,14.7,14.7,Fairly hard
327,1017,2006,16.6,,1,16.6,16.6,Fairly hard
328,1017,2007,16.8,,1,16.8,16.8,Fairly hard
329,1017,2008,16.8,,1,16.8,16.8,Fairly hard
330,1017,2009,15.4,,1,15.4,15.4,Fairly hard
331,1017,2010,15.2,,1,15.2,15.2,Fairly hard
332,1017,2011,15.8,,1,15.8,15.8,Fairly hard
333,1017,2012,15.1,,1,15.1,15.1,Fairly hard
334,1017,2013,15.7,,1,15.7,15.7,Fairly hard
335,1018,1981,14.2,,1,14.2,14.2,Fairly hard
336,1018,1982,13.7,,1,13.7,13.7,Fairly hard
337,1018,1983,14.3,,1,14.3,14.3,Fairly hard
338,1018,1985,16.5,,1,16.5,16.5,Fairly hard
339,1018,1990,14.5,,1,14.5,14.5,Fairly hard
340,1018,1995,14,,1,14,14,Fairly hard
341,1018,1998,14.5,,1,14.5,14.5,Fairly hard
342,1018,2002,13.7,,1,13.7,13.7,Fairly hard
343,1018,2004,14.9,,1,14.9,14.9,Fairly hard
344,1019,2002,17,2.4,5,15.8,15.8,Fairly hard
345,1019,2003,17,1.4,5,16,16,Fairly hard
346,1019,2004,17.7,2.1,5,16.6,16.6,Fairly hard
347,1019,2005,17.9,2.7,5,16.4,16.4,Fairly hard
348,1019,2006,17.4,2.3,5,16.5,16.5,Fairly hard
349,1019,2007,17.7,1.6,5,16.5,16.5,Fairly hard
350,1019,2008,16.4,1.1,5,15.9,15.9,Fairly hard
351,1019,2009,16.7,1.2,5,16.7,16.7,Fairly hard
352,1019,2010,16.9,1,5,16.7,16.7,Fairly hard
353,1019,2011,16.3,0.8,5,16.1,16.1,Fairly hard
354,1019,2012,16.3,1.1,5,15.8,15.8,Fairly hard
355,1019,2013,16.4,1,5,16.1,16.1,Fairly hard
356,1019,2014,16.3,0.9,5,16.4,16.4,Fairly hard
357,1019,2015,15.2,0.5,3,15,15,Fairly hard
358,1019,2016,15.8,0.4,4,15.7,15.7,Fairly hard
359,1019,2017,16.3,0.8,5,16.4,16.4,Fairly hard
360,1019,2018,16.6,1.3,4,16,16,Fairly hard
361,1019,2022,15.9,0.5,2,15.6,15.6,Fairly hard
362,1019,2023,16.3,1.6,3,15.3,15.3,Fairly hard
363,1020,1990,17,,1,17,17,Fairly hard
364,1020,1992,16.6,,1,16.6,16.6,Fairly hard
365,1020,1994,7.5,,1,7.5,7.5,Soft
366,1020,1995,7.6,,1,7.6,7.6,Soft
367,1020,1996,19,,1,19,19,Hard
368,1020,1997,7.7,,1,7.7,7.7,Soft
369,1020,1998,7.8,,1,7.8,7.8,Soft
370,1020,2001,7.5,,1,7.5,7.5,Soft
371,1020,2002,7.7,,1,7.7,7.7,Soft
372,1020,2004,8.2,,1,8.2,8.2,Medium hard
373,1020,2006,7.5,,1,7.5,7.5,Soft
374,1020,2008,7.5,,1,7.5,7.5,Soft
375,1020,2010,7.6,,1,7.6,7.6,Soft
376,1020,2012,7.7,,1,7.7,7.7,Soft
377,1020,2014,7.8,,1,7.8,7.8,Soft
378,1020,2016,7.6,,1,7.6,7.6,Soft
379,1020,2019,7.8,,1,7.8,7.8,Soft
380,1020,2020,7.8,,1,7.8,7.8,Soft
381,1020,2021,8.1,,1,8.1,8.1,Medium hard
382,1020,2022,6.5,,1,6.5,6.5,Soft
383,1021,1989,11,,1,11,11,Medium hard
384,1021,1990,11.2,,1,11.2,11.2,Medium hard
385,1021,1991,10.5,,1,10.5,10.5,Medium hard
386,1021,1992,10.9,,1,10.9,10.9,Medium hard
387,1021,1993,11,,1,11,11,Medium hard
388,1021,1995,12,,1,12,12,Medium hard
389,1021,1996,11.5,,1,11.5,11.5,Medium hard
390,1021,1997,11.9,,1,11.9,11.9,Medium hard
391,1021,1998,11.5,,1,11.5,11.5,Medium hard
392,1021,2000,11.5,,1,11.5,11.5,Medium hard
393,1021,2002,12.3,,1,12.3,12.3,Fairly hard
394,1021,2003,12.1,,1,12.1,12.1,Fairly hard
395,1021,2004,12,,1,12,12,Medium hard
396,1021,2005,12.4,,1,12.4,12.4,Fairly hard
397,1021,2006,10.8,,1,10.8,10.8,Medium hard
398,1021,2007,11.5,,1,11.5,11.5,Medium hard
399,1021,2008,10.9,,1,10.9,10.9,Medium hard
400,1021,2009,12.2,,1,12.2,12.2,Fairly hard
401,1021,2010,11.7,,1,11.7,11.7,Medium hard
402,1021,2011,10.7,,1,10.7,10.7,Medium hard
403,1021,2012,11.3,,1,11.3,11.3,Medium hard
404,1021,2013,11.2,,1,11.2,11.2,Medium hard
405,1021,2014,11,,1,11,11,Medium hard
406,1021,2015,11.3,,1,11.3,11.3,Medium hard
407,1021,2016,11,,1,11,11,Medium hard
408,1021,2017,11.2,,1,11.2,11.2,Medium hard
409,1022,2005,13,,1,13,13,Fairly hard
410,1022,2006,11.5,,1,11.5,11.5,Medium hard
411,1022,2007,12.2,,1,12.2,12.2,Fairly hard
412,1022,2008,12.2,,1,12.2,12.2,Fairly hard
413,1022,2009,12.4,,1,12.4,12.4,Fairly hard
414,1022,2010,11.3,,1,11.3,11.3,Medium hard
415,1022,2011,12.3,,1,12.3,12.3,Fairly hard
416,1022,2012,11.3,,1,11.3,11.3,Medium hard
417,1022,2013,11.7,,1,11.7,11.7,Medium hard
418,1022,2014,12.3,,1,12.3,12.3,Fairly hard
419,1022,2015,10.5,,1,10.5,10.5,Medium hard
420,1022,2016,11.8,,1,11.8,11.8,Medium hard
421,1022,2017,11.6,,1,11.6,11.6,Medium hard
422,1022,2018,11.4,,1,11.4,11.4,Medium hard
423,1022,2019,10.2,,1,10.2,10.2,Medium hard
424,1022,2020,13.1,,1,13.1,13.1,Fairly hard
425,1022,2021,11.1,,1,11.1,11.1,Medium hard
426,1022,2022,12.6,,1,12.6,12.6,Fairly hard
427,1022,2023,13.5,,1,13.5,13.5,Fairly hard
428,1023,1996,8.8,1.3,2,9.5,9.5,Medium hard
429,1023,1997,8.7,1.3,2,9.3,9.3,Medium hard
430,1023,1998,8.9,1.2,2,9.5,9.5,Medium hard
431,1023,1999,8.7,1.1,2,9.2,9.2,Medium hard
432,1024,1989,7.2,,1,7.2,7.2,Soft
433,1024,1990,7,,1,7,7,Soft
434,1024,1991,6.9,,1,6.9,6.9,Soft
435,1024,1992,6.7,,1,6.7,6.7,Soft
436,1024,1993,7,,1,7,7,Soft
437,1024,1994,6.8,,1,6.8,6.8,Soft
438,1024,1995,7,,1,7,7,Soft
439,1024,1996,6.9,,1,6.9,6.9,Soft
440,1024,1997,7,,1,7,7,Soft
441,1024,1998,6.8,,1,6.8,6.8,Soft
442,1024,1999,6.8,,1,6.8,6.8,Soft
443,1024,2000,6,,1,6,6,Soft
444,1024,2002,6.2,,1,6.2,6.2,Soft
445,1024,2003,6.8,,1,6.8,6.8,Soft
446,1024,2004,6.8,,1,6.8,6.8,Soft
447,1024,2005,6.8,,1,6.8,6.8,Soft
448,1024,2006,6.6,,1,6.6,6.6,Soft
449,1024,2007,6.8,,1,6.8,6.8,Soft
450,1024,2008,6.4,,1,6.4,6.4,Soft
451,1024,2009,6.5,,1,6.5,6.5,Soft
452,1024,2010,6.6,,1,6.6,6.6,Soft
453,1024,2011,6.8,,1,6.8,6.8,Soft
454,1024,2012,6.5,,1,6.5,6.5,Soft
455,1024,2013,6.3,,1,6.3,6.3,Soft
456,1024,2014,6.3,,1,6.3,6.3,Soft
457,1024,2015,6.3,,1,6.3,6.3,Soft
458,1024,2016,6.3,,1,6.3,6.3,Soft
459,1024,2017,6.1,,1,6.1,6.1,Soft
460,1024,2018,6.5,,1,6.5,6.5,Soft
461,1024,2019,5.8,,1,5.8,5.8,Soft
462,1024,2020,6.6,,1,6.6,6.6,Soft
463,1024,2021,6.4,,1,6.4,6.4,Soft
464,1024,2022,6.5,,1,6.5,6.5,Soft
465,1026,1999,7,,1,7,7,Soft
466,1026,2000,8.3,,1,8.3,8.3,Medium hard
467,1026,2001,7.6,,1,7.6,7.6,Soft
468,1026,2002,7.8,,1,7.8,7.8,Soft
469,1026,2003,7.4,,1,7.4,7.4,Soft
470,1026,2004,7.1,,1,7.1,7.1,Soft
471,1026,2006,7.3,,1,7.3,7.3,Soft
472,1026,2008,6.8,,1,6.8,6.8,Soft
473,1026,2009,6.5,,1,6.5,6.5,Soft
474,1026,2010,7.1,,1,7.1,7.1,Soft
475,1026,2011,7.8,,1,7.8,7.8,Soft
476,1026,2012,6.9,,1,6.9,6.9,Soft
477,1026,2013,7.6,,1,7.6,7.6,Soft
478,1026,2014,7.7,,1,7.7,7.7,Soft
479,1026,2015,7.3,,1,7.3,7.3,Soft
480,1026,2016,7.8,,1,7.8,7.8,Soft
481,1026,2017,6.8,,1,6.8,6.8,Soft
482,1026,2018,8.9,,1,8.9,8.9,Medium hard
483,1026,2019,8.7,,1,8.7,8.7,Medium hard
484,1026,2020,9,,1,9,9,Medium hard
485,1026,2021,7.6,,1,7.6,7.6,Soft
